id_produto,sku,nome,descricao,preco_custo,preco_venda,ativo,id_categoria,categoria_nome,categoria_pai,id_fornecedor,fornecedor_nome,fornecedor_cnpj,fornecedor_cidade,fornecedor_estado,id_loja,loja_nome,loja_tipo,estoque_qtd,ultima_atualizacao,margem_bruta,margem_pct,faixa_preco,estoque_total_rede
126,73006,Cartão Micro SD 128GB Samsung EVO Plus 100MB/s,"Cartão Micro SD 128GB Samsung EVO Plus 100MB/s. Interface USB 2.0, leitura ate 80MB/s. design compacto. Para uso em cameras e drones.",55.34,89.99,1,4,Armazenamento Portátil,Armazenamento Portátil,40,3Nstar Automação Comercial Brasil,57329146000100,São Paulo,SP,1,CD Osasco,Online,118,2026-04-13,34.65,38.5,MID,447
126,73006,Cartão Micro SD 128GB Samsung EVO Plus 100MB/s,"Cartão Micro SD 128GB Samsung EVO Plus 100MB/s. Interface USB 2.0, leitura ate 80MB/s. design compacto. Para uso em cameras e drones.",55.34,89.99,1,4,Armazenamento Portátil,Armazenamento Portátil,40,3Nstar Automação Comercial Brasil,57329146000100,São Paulo,SP,6,Escritório Central,Online,93,2026-04-13,34.65,38.5,MID,447
126,73006,Cartão Micro SD 128GB Samsung EVO Plus 100MB/s,"Cartão Micro SD 128GB Samsung EVO Plus 100MB/s. Interface USB 2.0, leitura ate 80MB/s. design compacto. Para uso em cameras e drones.",55.34,89.99,1,4,Armazenamento Portátil,Armazenamento Portátil,40,3Nstar Automação Comercial Brasil,57329146000100,São Paulo,SP,5,Loja BH Centro,Física,34,2026-04-13,34.65,38.5,MID,447
126,73006,Cartão Micro SD 128GB Samsung EVO Plus 100MB/s,"Cartão Micro SD 128GB Samsung EVO Plus 100MB/s. Interface USB 2.0, leitura ate 80MB/s. design compacto. Para uso em cameras e drones.",55.34,89.99,1,4,Armazenamento Portátil,Armazenamento Portátil,40,3Nstar Automação Comercial Brasil,57329146000100,São Paulo,SP,4,Loja Campinas,Física,96,2026-04-13,34.65,38.5,MID,447
126,73006,Cartão Micro SD 128GB Samsung EVO Plus 100MB/s,"Cartão Micro SD 128GB Samsung EVO Plus 100MB/s. Interface USB 2.0, leitura ate 80MB/s. design compacto. Para uso em cameras e drones.",55.34,89.99,1,4,Armazenamento Portátil,Armazenamento Portátil,40,3Nstar Automação Comercial Brasil,57329146000100,São Paulo,SP,2,Loja Paulista,Física,66,2026-04-13,34.65,38.5,MID,447
126,73006,Cartão Micro SD 128GB Samsung EVO Plus 100MB/s,"Cartão Micro SD 128GB Samsung EVO Plus 100MB/s. Interface USB 2.0, leitura ate 80MB/s. design compacto. Para uso em cameras e drones.",55.34,89.99,1,4,Armazenamento Portátil,Armazenamento Portátil,40,3Nstar Automação Comercial Brasil,57329146000100,São Paulo,SP,3,Loja Santo André,Física,40,2026-04-13,34.65,38.5,MID,447
124,73004,Cartão Micro SD 32GB Sandisk Class 10 Ultra 80MB/s,"Cartão Micro SD 32GB Sandisk Class 10 Ultra 80MB/s. Interface USB-C 3.1, leitura ate 130MB/s. protecao contra dados em loop. Para armazenamento e transporte de dados.",22.21,39.99,1,4,Armazenamento Portátil,Armazenamento Portátil,23,APC by Schneider Electric Brasil,84952076000107,São Paulo,SP,1,CD Osasco,Online,72,2026-04-13,17.78,44.46,LOW,896
124,73004,Cartão Micro SD 32GB Sandisk Class 10 Ultra 80MB/s,"Cartão Micro SD 32GB Sandisk Class 10 Ultra 80MB/s. Interface USB-C 3.1, leitura ate 130MB/s. protecao contra dados em loop. Para armazenamento e transporte de dados.",22.21,39.99,1,4,Armazenamento Portátil,Armazenamento Portátil,23,APC by Schneider Electric Brasil,84952076000107,São Paulo,SP,6,Escritório Central,Online,168,2026-04-13,17.78,44.46,LOW,896
124,73004,Cartão Micro SD 32GB Sandisk Class 10 Ultra 80MB/s,"Cartão Micro SD 32GB Sandisk Class 10 Ultra 80MB/s. Interface USB-C 3.1, leitura ate 130MB/s. protecao contra dados em loop. Para armazenamento e transporte de dados.",22.21,39.99,1,4,Armazenamento Portátil,Armazenamento Portátil,23,APC by Schneider Electric Brasil,84952076000107,São Paulo,SP,5,Loja BH Centro,Física,171,2026-04-13,17.78,44.46,LOW,896
124,73004,Cartão Micro SD 32GB Sandisk Class 10 Ultra 80MB/s,"Cartão Micro SD 32GB Sandisk Class 10 Ultra 80MB/s. Interface USB-C 3.1, leitura ate 130MB/s. protecao contra dados em loop. Para armazenamento e transporte de dados.",22.21,39.99,1,4,Armazenamento Portátil,Armazenamento Portátil,23,APC by Schneider Electric Brasil,84952076000107,São Paulo,SP,4,Loja Campinas,Física,175,2026-04-13,17.78,44.46,LOW,896
